,Name,Sex,Class,Ticket Fare,Embarked,Home Destination
0,"Bishop, Mr. Dickinson H",male,1,91.0792,C,"Dowagiac, MI"
1,"Bishop, Mrs. Dickinson H (Helen Walton)",female,1,91.0792,C,"Dowagiac, MI"
2,"Blank, Mr. Henry",male,1,31.0000,C,"Glen Ridge, NJ"
3,"Chevre, Mr. Paul Romaine",male,1,29.7000,C,"Paris, France"
4,"Crosby, Miss. Harriet R",female,1,71.0000,S,"Milwaukee, WI"
5,"Crosby, Mrs. Edward Gifford (Catherine Elizabeth Halstead)",female,1,26.5500,S,"Milwaukee, WI"
6,"Earnshaw, Mrs. Boulton (Olive Potter)",female,1,83.1583,C,"Mt Airy, Philadelphia, PA"
7,"Flegenheim, Mrs. Alfred (Antoinette)",female,1,31.6833,S,"New York, NY"
8,"Gibson, Miss. Dorothy Winifred",female,1,59.4000,C,"New York, NY"
9,"Gibson, Mrs. Leonard (Pauline C Boeson)",female,1,59.4000,C,"New York, NY"
10,"Greenfield, Mr. William Bertram",male,1,63.3583,C,"New York, NY"
11,"Greenfield, Mrs. Leo David (Blanche Strouse)",female,1,63.3583,C,"New York, NY"
12,"Hays, Miss. Margaret Bechstein",female,1,83.1583,C,"New York, NY"
13,"Marechal, Mr. Pierre",male,1,29.7000,C,"Paris, France"
14,"McGough, Mr. James Robert",male,1,26.2875,S,"Philadelphia, PA"
15,"Omont, Mr. Alfred Fernand",male,1,25.7417,C,"Paris, France"
16,"Potter, Mrs. Thomas Jr (Lily Alexenia Wilson)",female,1,83.1583,C,"Mt Airy, Philadelphia, PA"
17,"Seward, Mr. Frederic Kimber",male,1,26.5500,S,"New York, NY"
18,"Sloper, Mr. William Thompson",male,1,35.5000,S,"New Britain, CT"
19,"Snyder, Mr. John Pillsbury",male,1,82.2667,S,"Minneapolis, MN"
20,"Snyder, Mrs. John Pillsbury (Nelle Stevenson)",female,1,82.2667,S,"Minneapolis, MN"
21,"Tucker, Mr. Gilbert Milligan Jr",male,1,28.5375,C,"Albany, NY"
22,"Nourney, Mr. Alfred (""Baron von Drachstedt"")",male,2,13.8625,C,"Cologne, Germany"
