,Name,Sex,Class,Ticket Fare,Embarked,Home Destination
0,"Compton, Miss. Sara Rebecca",female,1,83.1583,C,"Lakewood, NJ"
1,"Compton, Mrs. Alexander Taylor (Mary Eliza Ingersoll)",female,1,83.1583,C,"Lakewood, NJ"
2,"Hoyt, Mr. William Fisher",male,1,30.6958,C,"New York, NY"
3,"Minahan, Miss. Daisy E",female,1,90.0000,Q,"Green Bay, WI"
4,"Minahan, Mrs. William Edward (Lillian E Thorpe)",female,1,90.0000,Q,"Fond du Lac, WI"
5,"Brown, Miss. Edith Eileen",female,2,39.0000,S,"Cape Town, South Africa / Seattle, WA"
6,"Brown, Mrs. Thomas William Solomon (Elizabeth Catherine Ford)",female,2,39.0000,S,"Cape Town, South Africa / Seattle, WA"
7,"Cameron, Miss. Clear Annie",female,2,21.0000,S,"Mamaroneck, NY"
8,"Clarke, Mrs. Charles V (Ada Maria Winfield)",female,2,26.0000,S,"England / San Francisco, CA"
9,"Collyer, Miss. Marjorie ""Lottie""",female,2,26.2500,S,"Bishopstoke, Hants / Fayette Valley, ID"
10,"Collyer, Mrs. Harvey (Charlotte Annie Tate)",female,2,26.2500,S,"Bishopstoke, Hants / Fayette Valley, ID"
11,"Cook, Mrs. (Selena Rogers)",female,2,10.5000,S,Pennsylvania
12,"Davies, Master. John Morgan Jr",male,2,36.7500,S,"St Ives, Cornwall / Hancock, MI"
13,"Davies, Mrs. John Morgan (Elizabeth Agnes Mary White) ",female,2,36.7500,S,"St Ives, Cornwall / Hancock, MI"
14,"Hart, Miss. Eva Miriam",female,2,26.2500,S,"Ilford, Essex / Winnipeg, MB"
15,"Hart, Mrs. Benjamin (Esther Ada Bloomfield)",female,2,26.2500,S,"Ilford, Essex / Winnipeg, MB"
16,"Laroche, Miss. Louise",female,2,41.5792,C,Paris / Haiti
17,"Laroche, Miss. Simonne Marie Anne Andree",female,2,41.5792,C,Paris / Haiti
18,"Laroche, Mrs. Joseph (Juliette Marie Louise Lafargue)",female,2,41.5792,C,Paris / Haiti
19,"Lemore, Mrs. (Amelia Milley)",female,2,10.5000,S,"Chicago, IL"
20,"Mellinger, Miss. Madeleine Violet",female,2,19.5000,S,"England / Bennington, VT"
21,"Mellinger, Mrs. (Elizabeth Anne Maidment)",female,2,19.5000,S,"England / Bennington, VT"
22,"Portaluppi, Mr. Emilio Ilario Giuseppe",male,2,12.7375,C,"Milford, NH"
23,"Walcroft, Miss. Nellie",female,2,21.0000,S,"Mamaroneck, NY"
24,"Wells, Master. Ralph Lester",male,2,23.0000,S,"Cornwall / Akron, OH"
25,"Wells, Miss. Joan",female,2,23.0000,S,"Cornwall / Akron, OH"
26,"Wells, Mrs. Arthur Henry (""Addie"" Dart Trevaskis)",female,2,23.0000,S,"Cornwall / Akron, OH"
27,"Williams, Mr. Charles Eugene",male,2,13.0000,S,"Harrow, England"
28,"Lang, Mr. Fang",male,3,56.4958,S,
29,"Moor, Master. Meier",male,3,12.4750,S,
30,"Moor, Mrs. (Beila)",female,3,12.4750,S,
31,"Ryan, Mr. Edward",male,3,7.7500,Q,
32,"Thomas, Mrs. Alexander (Thamine ""Thelma"")",female,3,8.5167,C,
